id;Source;Target;Type;label;timeset;weight
1550;1285;858;Directed;;;1.0
1551;468;81;Directed;;;1.0
1552;416;411;Directed;;;1.0
1553;416;417;Directed;;;1.0
1554;126;125;Directed;;;1.0
1555;126;127;Directed;;;1.0
1556;288;289;Directed;;;1.0
1557;288;290;Directed;;;1.0
1558;288;291;Directed;;;1.0
1559;288;292;Directed;;;1.0
1560;288;293;Directed;;;1.0
1561;407;408;Directed;;;1.0
1562;407;409;Directed;;;1.0
1563;407;306;Directed;;;1.0
1564;473;474;Directed;;;1.0
1565;473;475;Directed;;;1.0
1566;473;114;Directed;;;1.0
1567;473;476;Directed;;;1.0
1568;473;477;Directed;;;1.0
1569;473;478;Directed;;;1.0
1570;473;479;Directed;;;1.0
1571;282;607;Directed;;;1.0
1572;686;110;Directed;;;1.0
1573;575;576;Directed;;;1.0
1574;575;577;Directed;;;1.0
1575;575;574;Directed;;;1.0
1576;575;578;Directed;;;1.0
1577;575;579;Directed;;;1.0
1578;199;114;Directed;;;1.0
1579;199;200;Directed;;;1.0
1580;199;201;Directed;;;1.0
1581;199;117;Directed;;;1.0
1582;199;384;Directed;;;1.0
1583;199;197;Directed;;;1.0
1584;199;868;Directed;;;1.0
1585;199;364;Directed;;;1.0
1586;112;113;Directed;;;1.0
1587;112;114;Directed;;;1.0
1588;112;115;Directed;;;1.0
1589;112;116;Directed;;;1.0
1590;112;117;Directed;;;1.0
1591;112;118;Directed;;;1.0
1592;113;112;Directed;;;1.0
1593;113;114;Directed;;;1.0
1594;113;115;Directed;;;1.0
1595;113;116;Directed;;;1.0
1596;113;117;Directed;;;1.0
1597;113;118;Directed;;;1.0
1598;62;63;Directed;;;1.0
1599;923;815;Directed;;;1.0
1600;923;924;Directed;;;1.0
1601;923;925;Directed;;;1.0
1602;923;634;Directed;;;1.0
1603;542;48;Directed;;;1.0
1604;466;120;Directed;;;1.0
1605;466;467;Directed;;;1.0
1606;466;239;Directed;;;1.0
1607;77;55;Directed;;;1.0
1608;77;78;Directed;;;1.0
1609;856;782;Directed;;;1.0
1610;643;644;Directed;;;1.0
1611;643;189;Directed;;;1.0
1612;643;130;Directed;;;1.0
1613;643;645;Directed;;;1.0
1614;545;185;Directed;;;1.0
1615;545;186;Directed;;;1.0
1616;664;68;Directed;;;1.0
1617;157;158;Directed;;;1.0
1618;30;128;Directed;;;1.0
1619;30;99;Directed;;;1.0
1620;30;129;Directed;;;1.0
1621;30;120;Directed;;;1.0
1622;30;130;Directed;;;1.0
1623;30;365;Directed;;;1.0
1624;30;87;Directed;;;1.0
1625;30;80;Directed;;;1.0
1626;30;366;Directed;;;1.0
1627;30;792;Directed;;;1.0
1628;30;841;Directed;;;1.0
1629;30;65;Directed;;;1.0
1630;30;842;Directed;;;1.0
1631;30;751;Directed;;;1.0
1632;30;935;Directed;;;1.0
1633;1080;120;Directed;;;1.0
1634;1080;1081;Directed;;;1.0
1635;1080;1082;Directed;;;1.0
1636;120;121;Directed;;;1.0
1637;120;122;Directed;;;1.0
1638;120;123;Directed;;;1.0
1639;120;124;Directed;;;1.0
1640;120;30;Directed;;;1.0
1641;120;130;Directed;;;1.0
1642;120;466;Directed;;;1.0
1643;120;467;Directed;;;1.0
1644;120;1080;Directed;;;1.0
1645;120;1081;Directed;;;1.0
1646;120;1082;Directed;;;1.0
1647;367;368;Directed;;;1.0
1648;367;140;Directed;;;1.0
1649;367;1270;Directed;;;1.0
1650;367;640;Directed;;;1.0
1651;136;137;Directed;;;1.0
1652;136;138;Directed;;;1.0
1653;136;139;Directed;;;1.0
1654;136;140;Directed;;;1.0
1655;41;962;Directed;;;1.0
1656;41;429;Directed;;;1.0
1657;41;109;Directed;;;1.0
1658;765;570;Directed;;;1.0
1659;765;81;Directed;;;1.0
1660;765;766;Directed;;;1.0
1661;765;767;Directed;;;1.0
1662;770;769;Directed;;;1.0
1663;770;771;Directed;;;1.0
1664;770;227;Directed;;;1.0
1665;770;742;Directed;;;1.0
1666;770;772;Directed;;;1.0
1667;770;773;Directed;;;1.0
1668;770;774;Directed;;;1.0
1669;365;30;Directed;;;1.0
1670;365;87;Directed;;;1.0
1671;365;99;Directed;;;1.0
1672;365;80;Directed;;;1.0
1673;365;366;Directed;;;1.0
1674;872;325;Directed;;;1.0
1675;872;873;Directed;;;1.0
1676;872;454;Directed;;;1.0
1677;872;874;Directed;;;1.0
1678;872;875;Directed;;;1.0
1679;872;876;Directed;;;1.0
1680;872;877;Directed;;;1.0
1681;872;878;Directed;;;1.0
1682;872;341;Directed;;;1.0
1683;644;643;Directed;;;1.0
1684;644;189;Directed;;;1.0
1685;644;130;Directed;;;1.0
1686;644;645;Directed;;;1.0
1687;441;442;Directed;;;1.0
1688;441;490;Directed;;;1.0
1689;441;491;Directed;;;1.0
1690;441;492;Directed;;;1.0
1691;441;493;Directed;;;1.0
1692;441;325;Directed;;;1.0
1693;1002;189;Directed;;;1.0
1694;453;454;Directed;;;1.0
1695;453;287;Directed;;;1.0
1696;453;455;Directed;;;1.0
1697;453;456;Directed;;;1.0
1698;453;457;Directed;;;1.0
1699;480;481;Directed;;;1.0
1700;480;482;Directed;;;1.0
1701;480;483;Directed;;;1.0
1702;480;476;Directed;;;1.0
1703;480;117;Directed;;;1.0
1704;480;470;Directed;;;1.0
1705;480;472;Directed;;;1.0
1706;480;484;Directed;;;1.0
1707;121;120;Directed;;;1.0
1708;121;122;Directed;;;1.0
1709;121;123;Directed;;;1.0
1710;121;124;Directed;;;1.0
1711;121;125;Directed;;;1.0
1712;637;65;Directed;;;1.0
1713;134;48;Directed;;;1.0
1714;402;403;Directed;;;1.0
1715;402;302;Directed;;;1.0
1716;402;401;Directed;;;1.0
1717;402;404;Directed;;;1.0
1718;402;226;Directed;;;1.0
1719;1148;74;Directed;;;1.0
1720;1245;570;Directed;;;1.0
1721;1245;81;Directed;;;1.0
1722;68;69;Directed;;;1.0
1723;68;70;Directed;;;1.0
1724;68;98;Directed;;;1.0
1725;68;664;Directed;;;1.0
1726;68;751;Directed;;;1.0
1727;68;245;Directed;;;1.0
1728;68;158;Directed;;;1.0
1729;68;1061;Directed;;;1.0
1730;68;661;Directed;;;1.0
1731;68;235;Directed;;;1.0
1732;68;1238;Directed;;;1.0
1733;219;220;Directed;;;1.0
1734;154;137;Directed;;;1.0
1735;154;155;Directed;;;1.0
1736;154;156;Directed;;;1.0
1737;408;407;Directed;;;1.0
1738;408;409;Directed;;;1.0
1739;408;306;Directed;;;1.0
1740;408;502;Directed;;;1.0
1741;408;503;Directed;;;1.0
1742;98;68;Directed;;;1.0
1743;661;68;Directed;;;1.0
1744;661;235;Directed;;;1.0
1745;661;1198;Directed;;;1.0
1746;327;328;Directed;;;1.0
1747;327;78;Directed;;;1.0
1748;327;685;Directed;;;1.0
1749;327;110;Directed;;;1.0
1750;327;54;Directed;;;1.0
1751;328;327;Directed;;;1.0
1752;328;78;Directed;;;1.0
1753;328;552;Directed;;;1.0
1754;328;553;Directed;;;1.0
1755;328;554;Directed;;;1.0
1756;570;765;Directed;;;1.0
1757;570;81;Directed;;;1.0
1758;570;766;Directed;;;1.0
1759;570;767;Directed;;;1.0
1760;570;1245;Directed;;;1.0
1761;119;132;Directed;;;1.0
1762;119;224;Directed;;;1.0
1763;119;117;Directed;;;1.0
1764;119;225;Directed;;;1.0
1765;490;441;Directed;;;1.0
1766;490;491;Directed;;;1.0
1767;490;492;Directed;;;1.0
1768;490;493;Directed;;;1.0
1769;941;191;Directed;;;1.0
1770;941;248;Directed;;;1.0
1771;941;942;Directed;;;1.0
1772;941;790;Directed;;;1.0
1773;941;943;Directed;;;1.0
1774;941;139;Directed;;;1.0
1775;941;634;Directed;;;1.0
1776;941;944;Directed;;;1.0
1777;778;779;Directed;;;1.0
1778;778;236;Directed;;;1.0
1779;778;1029;Directed;;;1.0
1780;1033;54;Directed;;;1.0
1781;1033;1034;Directed;;;1.0
1782;555;55;Directed;;;1.0
1783;555;556;Directed;;;1.0
1784;555;557;Directed;;;1.0
1785;555;558;Directed;;;1.0
1786;555;559;Directed;;;1.0
1787;938;939;Directed;;;1.0
1788;938;940;Directed;;;1.0
1789;938;954;Directed;;;1.0
1790;938;955;Directed;;;1.0
1791;938;1145;Directed;;;1.0
1792;481;480;Directed;;;1.0
1793;481;482;Directed;;;1.0
1794;481;483;Directed;;;1.0
1795;481;476;Directed;;;1.0
1796;481;117;Directed;;;1.0
1797;481;470;Directed;;;1.0
1798;481;472;Directed;;;1.0
1799;481;484;Directed;;;1.0
1800;385;54;Directed;;;1.0
1801;385;386;Directed;;;1.0
1802;385;53;Directed;;;1.0
1803;380;47;Directed;;;1.0
1804;69;68;Directed;;;1.0
1805;69;70;Directed;;;1.0
1806;1306;114;Directed;;;1.0
1807;1306;1307;Directed;;;1.0
1808;1306;775;Directed;;;1.0
1809;474;473;Directed;;;1.0
1810;474;475;Directed;;;1.0
1811;474;114;Directed;;;1.0
1812;474;476;Directed;;;1.0
1813;474;477;Directed;;;1.0
1814;474;478;Directed;;;1.0
1815;474;479;Directed;;;1.0
1816;474;633;Directed;;;1.0
1817;474;634;Directed;;;1.0
1818;474;137;Directed;;;1.0
1819;474;47;Directed;;;1.0
1820;474;314;Directed;;;1.0
1821;474;59;Directed;;;1.0
1822;474;701;Directed;;;1.0
1823;474;956;Directed;;;1.0
1824;48;134;Directed;;;1.0
1825;48;542;Directed;;;1.0
1826;48;245;Directed;;;1.0
1827;48;963;Directed;;;1.0
1828;48;429;Directed;;;1.0
1829;48;86;Directed;;;1.0
1830;48;164;Directed;;;1.0
1831;48;109;Directed;;;1.0
1832;743;744;Directed;;;1.0
1833;743;745;Directed;;;1.0
1834;743;277;Directed;;;1.0
1835;743;222;Directed;;;1.0
1836;743;746;Directed;;;1.0
1837;743;747;Directed;;;1.0
1838;965;43;Directed;;;1.0
1839;965;966;Directed;;;1.0
1840;965;45;Directed;;;1.0
1841;442;441;Directed;;;1.0
1842;137;136;Directed;;;1.0
1843;137;138;Directed;;;1.0
1844;137;139;Directed;;;1.0
1845;137;140;Directed;;;1.0
1846;137;154;Directed;;;1.0
1847;137;155;Directed;;;1.0
1848;137;156;Directed;;;1.0
1849;137;197;Directed;;;1.0
1850;137;198;Directed;;;1.0
1851;137;202;Directed;;;1.0
1852;137;59;Directed;;;1.0
1853;137;203;Directed;;;1.0
1854;137;248;Directed;;;1.0
1855;137;117;Directed;;;1.0
1856;137;249;Directed;;;1.0
1857;137;474;Directed;;;1.0
1858;137;47;Directed;;;1.0
1859;137;314;Directed;;;1.0
1860;137;701;Directed;;;1.0
1861;137;497;Directed;;;1.0
1862;137;114;Directed;;;1.0
1863;137;1065;Directed;;;1.0
1864;137;224;Directed;;;1.0
1865;137;1066;Directed;;;1.0
1866;137;1067;Directed;;;1.0
1867;137;1068;Directed;;;1.0
1868;137;1069;Directed;;;1.0
1869;137;1070;Directed;;;1.0
1870;137;634;Directed;;;1.0
1871;137;200;Directed;;;1.0
1872;977;978;Directed;;;1.0
1873;977;110;Directed;;;1.0
1874;977;979;Directed;;;1.0
1875;977;980;Directed;;;1.0
1876;958;959;Directed;;;1.0
1877;958;44;Directed;;;1.0
1878;958;45;Directed;;;1.0
1879;208;209;Directed;;;1.0
1880;784;114;Directed;;;1.0
1881;784;785;Directed;;;1.0
1882;784;118;Directed;;;1.0
1883;784;384;Directed;;;1.0
1884;784;155;Directed;;;1.0
1885;784;794;Directed;;;1.0
1886;784;795;Directed;;;1.0
1887;784;197;Directed;;;1.0
1888;283;284;Directed;;;1.0
1889;283;285;Directed;;;1.0
1890;283;286;Directed;;;1.0
1891;283;222;Directed;;;1.0
1892;485;114;Directed;;;1.0
1893;485;248;Directed;;;1.0
1894;485;197;Directed;;;1.0
1895;954;938;Directed;;;1.0
1896;954;955;Directed;;;1.0
1897;986;987;Directed;;;1.0
1898;986;984;Directed;;;1.0
1899;986;985;Directed;;;1.0
1900;54;231;Directed;;;1.0
1901;54;223;Directed;;;1.0
1902;54;53;Directed;;;1.0
1903;54;232;Directed;;;1.0
1904;54;185;Directed;;;1.0
1905;54;385;Directed;;;1.0
1906;54;386;Directed;;;1.0
1907;54;55;Directed;;;1.0
1908;54;426;Directed;;;1.0
1909;54;736;Directed;;;1.0
1910;54;327;Directed;;;1.0
1911;54;814;Directed;;;1.0
1912;54;1033;Directed;;;1.0
1913;54;1034;Directed;;;1.0
1914;54;1242;Directed;;;1.0
1915;815;816;Directed;;;1.0
1916;815;923;Directed;;;1.0
1917;815;924;Directed;;;1.0
1918;815;925;Directed;;;1.0
1919;815;634;Directed;;;1.0
1920;1081;1080;Directed;;;1.0
1921;1081;120;Directed;;;1.0
1922;1081;1082;Directed;;;1.0
1923;325;53;Directed;;;1.0
1924;325;872;Directed;;;1.0
1925;325;873;Directed;;;1.0
1926;325;454;Directed;;;1.0
1927;325;874;Directed;;;1.0
1928;325;875;Directed;;;1.0
1929;325;876;Directed;;;1.0
1930;325;877;Directed;;;1.0
1931;325;878;Directed;;;1.0
1932;325;341;Directed;;;1.0
1933;325;441;Directed;;;1.0
1934;187;188;Directed;;;1.0
1935;187;189;Directed;;;1.0
1936;187;411;Directed;;;1.0
1937;187;415;Directed;;;1.0
1938;187;961;Directed;;;1.0
1939;187;853;Directed;;;1.0
1940;187;772;Directed;;;1.0
1941;187;838;Directed;;;1.0
1942;210;211;Directed;;;1.0
1943;210;212;Directed;;;1.0
1944;210;213;Directed;;;1.0
1945;210;316;Directed;;;1.0
1946;210;317;Directed;;;1.0
1947;36;37;Directed;;;1.0
1948;36;38;Directed;;;1.0
1949;36;39;Directed;;;1.0
1950;475;473;Directed;;;1.0
1951;475;474;Directed;;;1.0
1952;475;114;Directed;;;1.0
1953;475;476;Directed;;;1.0
1954;475;477;Directed;;;1.0
1955;475;478;Directed;;;1.0
1956;475;479;Directed;;;1.0
1957;390;419;Directed;;;1.0
1958;390;420;Directed;;;1.0
1959;390;140;Directed;;;1.0
1960;390;627;Directed;;;1.0
1961;390;793;Directed;;;1.0
1962;796;797;Directed;;;1.0
1963;796;798;Directed;;;1.0
1964;796;414;Directed;;;1.0
1965;796;949;Directed;;;1.0
1966;828;744;Directed;;;1.0
1967;828;829;Directed;;;1.0
1968;969;81;Directed;;;1.0
1969;873;872;Directed;;;1.0
1970;873;325;Directed;;;1.0
1971;873;454;Directed;;;1.0
1972;873;874;Directed;;;1.0
1973;873;875;Directed;;;1.0
1974;873;876;Directed;;;1.0
1975;873;877;Directed;;;1.0
1976;873;878;Directed;;;1.0
1977;873;341;Directed;;;1.0
1978;873;940;Directed;;;1.0
1979;873;991;Directed;;;1.0
1980;114;112;Directed;;;1.0
1981;114;113;Directed;;;1.0
1982;114;115;Directed;;;1.0
1983;114;116;Directed;;;1.0
1984;114;117;Directed;;;1.0
1985;114;118;Directed;;;1.0
1986;114;156;Directed;;;1.0
1987;114;47;Directed;;;1.0
1988;114;181;Directed;;;1.0
1989;114;199;Directed;;;1.0
1990;114;200;Directed;;;1.0
1991;114;201;Directed;;;1.0
1992;114;224;Directed;;;1.0
1993;114;197;Directed;;;1.0
1994;114;334;Directed;;;1.0
1995;114;323;Directed;;;1.0
1996;114;473;Directed;;;1.0
1997;114;474;Directed;;;1.0
1998;114;475;Directed;;;1.0
1999;114;476;Directed;;;1.0
2000;114;477;Directed;;;1.0
2001;114;478;Directed;;;1.0
2002;114;479;Directed;;;1.0
2003;114;485;Directed;;;1.0
2004;114;248;Directed;;;1.0
2005;114;784;Directed;;;1.0
2006;114;785;Directed;;;1.0
2007;114;384;Directed;;;1.0
2008;114;155;Directed;;;1.0
2009;114;794;Directed;;;1.0
2010;114;795;Directed;;;1.0
2011;114;137;Directed;;;1.0
2012;114;912;Directed;;;1.0
2013;114;968;Directed;;;1.0
2014;114;1050;Directed;;;1.0
2015;114;1065;Directed;;;1.0
2016;114;1066;Directed;;;1.0
2017;114;1067;Directed;;;1.0
2018;114;1068;Directed;;;1.0
2019;114;1069;Directed;;;1.0
2020;114;1070;Directed;;;1.0
2021;114;59;Directed;;;1.0
2022;114;634;Directed;;;1.0
2023;114;1132;Directed;;;1.0
2024;114;692;Directed;;;1.0
2025;114;1152;Directed;;;1.0
2026;114;1153;Directed;;;1.0
2027;114;1306;Directed;;;1.0
2028;114;1307;Directed;;;1.0
2029;114;775;Directed;;;1.0
2030;961;187;Directed;;;1.0
2031;961;411;Directed;;;1.0
2032;961;853;Directed;;;1.0
2033;961;772;Directed;;;1.0
2034;42;43;Directed;;;1.0
2035;42;44;Directed;;;1.0
2036;42;45;Directed;;;1.0
2037;42;46;Directed;;;1.0
2038;42;324;Directed;;;1.0
2039;42;607;Directed;;;1.0
2040;1289;822;Directed;;;1.0
2041;122;120;Directed;;;1.0
2042;122;121;Directed;;;1.0
2043;122;123;Directed;;;1.0
2044;122;124;Directed;;;1.0
2045;122;305;Directed;;;1.0
2046;122;1227;Directed;;;1.0
2047;122;1228;Directed;;;1.0
2048;37;36;Directed;;;1.0
2049;37;38;Directed;;;1.0
2050;37;39;Directed;;;1.0
2051;633;474;Directed;;;1.0
2052;633;634;Directed;;;1.0
2053;342;270;Directed;;;1.0
2054;191;192;Directed;;;1.0
2055;191;941;Directed;;;1.0
2056;191;248;Directed;;;1.0
2057;191;942;Directed;;;1.0
2058;191;790;Directed;;;1.0
2059;191;943;Directed;;;1.0
2060;191;139;Directed;;;1.0
2061;191;634;Directed;;;1.0
2062;191;944;Directed;;;1.0
2063;322;53;Directed;;;1.0
2064;974;975;Directed;;;1.0
2065;974;216;Directed;;;1.0
2066;974;266;Directed;;;1.0
2067;974;272;Directed;;;1.0
2068;974;976;Directed;;;1.0
2069;1227;122;Directed;;;1.0
2070;1227;1228;Directed;;;1.0
2071;871;497;Directed;;;1.0
2072;871;782;Directed;;;1.0
2073;482;480;Directed;;;1.0
2074;482;481;Directed;;;1.0
2075;482;483;Directed;;;1.0
2076;482;476;Directed;;;1.0
2077;482;117;Directed;;;1.0
2078;482;470;Directed;;;1.0
2079;482;472;Directed;;;1.0
2080;482;484;Directed;;;1.0
2081;483;480;Directed;;;1.0
2082;483;481;Directed;;;1.0
2083;483;482;Directed;;;1.0
2084;483;476;Directed;;;1.0
2085;483;117;Directed;;;1.0
2086;483;470;Directed;;;1.0
2087;483;472;Directed;;;1.0
2088;483;484;Directed;;;1.0
2089;483;799;Directed;;;1.0
2090;231;54;Directed;;;1.0
2091;231;223;Directed;;;1.0
2092;231;53;Directed;;;1.0
2093;231;232;Directed;;;1.0
2094;616;928;Directed;;;1.0
2095;616;602;Directed;;;1.0
2096;616;526;Directed;;;1.0
2097;616;929;Directed;;;1.0
2098;476;473;Directed;;;1.0
2099;476;474;Directed;;;1.0
2100;476;475;Directed;;;1.0
2101;476;114;Directed;;;1.0
2102;476;477;Directed;;;1.0
2103;476;478;Directed;;;1.0
2104;476;479;Directed;;;1.0
2105;476;480;Directed;;;1.0
2106;476;481;Directed;;;1.0
2107;476;482;Directed;;;1.0
2108;476;483;Directed;;;1.0
2109;476;117;Directed;;;1.0
2110;476;470;Directed;;;1.0
2111;476;472;Directed;;;1.0
2112;476;484;Directed;;;1.0
2113;165;166;Directed;;;1.0
2114;165;167;Directed;;;1.0
2115;165;424;Directed;;;1.0
2116;165;425;Directed;;;1.0
2117;165;607;Directed;;;1.0
2118;702;703;Directed;;;1.0
2119;702;146;Directed;;;1.0
2120;702;401;Directed;;;1.0
2121;702;704;Directed;;;1.0
2122;55;77;Directed;;;1.0
2123;55;78;Directed;;;1.0
2124;55;311;Directed;;;1.0
2125;55;292;Directed;;;1.0
2126;55;312;Directed;;;1.0
2127;55;374;Directed;;;1.0
2128;55;375;Directed;;;1.0
2129;55;376;Directed;;;1.0
2130;55;405;Directed;;;1.0
2131;55;406;Directed;;;1.0
2132;55;54;Directed;;;1.0
2133;55;555;Directed;;;1.0
2134;55;556;Directed;;;1.0
2135;55;557;Directed;;;1.0
2136;55;558;Directed;;;1.0
2137;55;559;Directed;;;1.0
2138;55;560;Directed;;;1.0
2139;55;817;Directed;;;1.0
2140;55;818;Directed;;;1.0
2141;55;819;Directed;;;1.0
